"","Year","State","State.Minimum.Wage","State.Minimum.Wage.2020.Dollars","Federal.Minimum.Wage","Federal.Minimum.Wage.2020.Dollars","Effective.Minimum.Wage","Effective.Minimum.Wage.2020.Dollars","CPI.Average","Department.Of.Labor.Uncleaned.Data","Department.Of.Labor.Cleaned.Low.Value","Department.Of.Labor.Cleaned.Low.Value.2020.Dollars","Department.Of.Labor.Cleaned.High.Value","Department.Of.Labor.Cleaned.High.Value.2020.Dollars","Average_Inflation","Inflation_Category"
"1",2000,"Alabama",0,0,5.15,7.74,5.15,7.74,172.2,"...",0,0,0,0,2.4,"High Inflation"
"2",2000,"Alaska",5.65,8.49,5.15,7.74,5.65,8.49,172.2,"5.65",5.65,8.49,5.65,8.49,2.4,"High Inflation"
"3",2000,"Arizona",0,0,5.15,7.74,5.15,7.74,172.2,"...",0,0,0,0,2.4,"High Inflation"
"4",2000,"Arkansas",5.15,7.74,5.15,7.74,5.15,7.74,172.2,"5.15[c]",5.15,7.74,5.15,7.74,2.4,"High Inflation"
"5",2000,"California",5.75,8.64,5.15,7.74,5.75,8.64,172.2,"5.75",5.75,8.64,5.75,8.64,2.4,"High Inflation"
"6",2000,"Colorado",5.15,7.74,5.15,7.74,5.15,7.74,172.2,"5.15",5.15,7.74,5.15,7.74,2.4,"High Inflation"
"7",2000,"Connecticut",6.15,9.24,5.15,7.74,6.15,9.24,172.2,"6.15",6.15,9.24,6.15,9.24,2.4,"High Inflation"
"8",2000,"Delaware",5.65,8.49,5.15,7.74,5.65,8.49,172.2,"5.65",5.65,8.49,5.65,8.49,2.4,"High Inflation"
"9",2000,"District of Columbia",6.15,9.24,5.15,7.74,6.15,9.24,172.2,"6.15",6.15,9.24,6.15,9.24,2.4,"High Inflation"
"10",2000,"Florida",0,0,5.15,7.74,5.15,7.74,172.2,"...",0,0,0,0,2.4,"High Inflation"
"11",2000,"Georgia",3.25,4.88,5.15,7.74,5.15,7.74,172.2,"3.25(d)",3.25,4.88,3.25,4.88,2.4,"High Inflation"
"12",2000,"Guam",5.15,7.74,5.15,7.74,5.15,7.74,172.2,"5.15",5.15,7.74,5.15,7.74,2.4,"High Inflation"
"13",2000,"Hawaii",5.25,7.89,5.15,7.74,5.25,7.89,172.2,"5.25",5.25,7.89,5.25,7.89,2.4,"High Inflation"
"14",2000,"Idaho",5.15,7.74,5.15,7.74,5.15,7.74,172.2,"5.15",5.15,7.74,5.15,7.74,2.4,"High Inflation"
"15",2000,"Illinois",5.15,7.74,5.15,7.74,5.15,7.74,172.2,"5.15[c]",5.15,7.74,5.15,7.74,2.4,"High Inflation"
"16",2000,"Indiana",5.15,7.74,5.15,7.74,5.15,7.74,172.2,"5.15(e)",5.15,7.74,5.15,7.74,2.4,"High Inflation"
"17",2000,"Iowa",5.15,7.74,5.15,7.74,5.15,7.74,172.2,"5.15",5.15,7.74,5.15,7.74,2.4,"High Inflation"
"18",2000,"Kansas",2.65,3.98,5.15,7.74,5.15,7.74,172.2,"2.65",2.65,3.98,2.65,3.98,2.4,"High Inflation"
"19",2000,"Kentucky",5.15,7.74,5.15,7.74,5.15,7.74,172.2,"5.15",5.15,7.74,5.15,7.74,2.4,"High Inflation"
"20",2000,"Louisiana",0,0,5.15,7.74,5.15,7.74,172.2,"...",0,0,0,0,2.4,"High Inflation"
"21",2000,"Maine",5.15,7.74,5.15,7.74,5.15,7.74,172.2,"5.15",5.15,7.74,5.15,7.74,2.4,"High Inflation"
"22",2000,"Maryland",5.15,7.74,5.15,7.74,5.15,7.74,172.2,"5.15",5.15,7.74,5.15,7.74,2.4,"High Inflation"
"23",2000,"Massachusetts",6,9.01,5.15,7.74,6,9.01,172.2,"6",6,9.01,6,9.01,2.4,"High Inflation"
"24",2000,"Michigan",5.15,7.74,5.15,7.74,5.15,7.74,172.2,"5.15(e)",5.15,7.74,5.15,7.74,2.4,"High Inflation"
"25",2000,"Minnesota",4.9,7.36,5.15,7.74,5.15,7.74,172.2,"4.90 - 5.15(g)",4.9,7.36,5.15,7.74,2.4,"High Inflation"
"26",2000,"Mississippi",0,0,5.15,7.74,5.15,7.74,172.2,"...",0,0,0,0,2.4,"High Inflation"
"27",2000,"Missouri",5.15,7.74,5.15,7.74,5.15,7.74,172.2,"5.15",5.15,7.74,5.15,7.74,2.4,"High Inflation"
"28",2000,"Montana",4,6.01,5.15,7.74,5.15,7.74,172.2,"4.00 - 5.15(g)",4,6.01,5.15,7.74,2.4,"High Inflation"
"29",2000,"Nebraska",5.15,7.74,5.15,7.74,5.15,7.74,172.2,"5.15[c]",5.15,7.74,5.15,7.74,2.4,"High Inflation"
"30",2000,"Nevada",5.15,7.74,5.15,7.74,5.15,7.74,172.2,"5.15",5.15,7.74,5.15,7.74,2.4,"High Inflation"
"31",2000,"New Hampshire",5.15,7.74,5.15,7.74,5.15,7.74,172.2,"5.15",5.15,7.74,5.15,7.74,2.4,"High Inflation"
"32",2000,"New Jersey",5.15,7.74,5.15,7.74,5.15,7.74,172.2,"5.15",5.15,7.74,5.15,7.74,2.4,"High Inflation"
"33",2000,"New Mexico",4.25,6.38,5.15,7.74,5.15,7.74,172.2,"4.25",4.25,6.38,4.25,6.38,2.4,"High Inflation"
"34",2000,"New York",4.25,6.38,5.15,7.74,5.15,7.74,172.2,"4.25",4.25,6.38,4.25,6.38,2.4,"High Inflation"
"35",2000,"North Carolina",5.15,7.74,5.15,7.74,5.15,7.74,172.2,"5.15",5.15,7.74,5.15,7.74,2.4,"High Inflation"
"36",2000,"North Dakota",5.15,7.74,5.15,7.74,5.15,7.74,172.2,"5.15",5.15,7.74,5.15,7.74,2.4,"High Inflation"
"37",2000,"Ohio",2.8,4.21,5.15,7.74,5.15,7.74,172.2,"2.80 - 4.25(g)",2.8,4.21,4.25,6.38,2.4,"High Inflation"
"38",2000,"Oklahoma",2,3,5.15,7.74,5.15,7.74,172.2,"2.00 - 5.15(g)",2,3,5.15,7.74,2.4,"High Inflation"
"39",2000,"Oregon",6.5,9.76,5.15,7.74,6.5,9.76,172.2,"6.5",6.5,9.76,6.5,9.76,2.4,"High Inflation"
"40",2000,"Pennsylvania",5.15,7.74,5.15,7.74,5.15,7.74,172.2,"5.15",5.15,7.74,5.15,7.74,2.4,"High Inflation"
"41",2000,"Puerto Rico",3.61,5.42,5.15,7.74,5.15,7.74,172.2,"3.61 - 5.15(i)",3.61,5.42,5.15,7.74,2.4,"High Inflation"
"42",2000,"Rhode Island",5.65,8.49,5.15,7.74,5.65,8.49,172.2,"5.65",5.65,8.49,5.65,8.49,2.4,"High Inflation"
"43",2000,"South Carolina",0,0,5.15,7.74,5.15,7.74,172.2,"...",0,0,0,0,2.4,"High Inflation"
"44",2000,"South Dakota",5.15,7.74,5.15,7.74,5.15,7.74,172.2,"5.15",5.15,7.74,5.15,7.74,2.4,"High Inflation"
"45",2000,"Tennessee",0,0,5.15,7.74,5.15,7.74,172.2,"...",0,0,0,0,2.4,"High Inflation"
"46",2000,"Texas",3.35,5.03,5.15,7.74,5.15,7.74,172.2,"3.35",3.35,5.03,3.35,5.03,2.4,"High Inflation"
"47",2000,"U.S. Virgin Islands",4.3,6.46,5.15,7.74,5.15,7.74,172.2,"4.30 - 4.65(g,j)",4.3,6.46,4.65,6.98,2.4,"High Inflation"
"48",2000,"Utah",5.15,7.74,5.15,7.74,5.15,7.74,172.2,"5.15",5.15,7.74,5.15,7.74,2.4,"High Inflation"
"49",2000,"Vermont",5.75,8.64,5.15,7.74,5.75,8.64,172.2,"5.75(e)",5.75,8.64,5.75,8.64,2.4,"High Inflation"
"50",2000,"Virginia",5.15,7.74,5.15,7.74,5.15,7.74,172.2,"5.15[c]",5.15,7.74,5.15,7.74,2.4,"High Inflation"
"51",2000,"Washington",6.5,9.76,5.15,7.74,6.5,9.76,172.2,"6.5",6.5,9.76,6.5,9.76,2.4,"High Inflation"
"52",2000,"West Virginia",5.15,7.74,5.15,7.74,5.15,7.74,172.2,"5.15(d)",5.15,7.74,5.15,7.74,2.4,"High Inflation"
"53",2000,"Wisconsin",5.15,7.74,5.15,7.74,5.15,7.74,172.2,"5.15",5.15,7.74,5.15,7.74,2.4,"High Inflation"
"54",2000,"Wyoming",1.6,2.4,5.15,7.74,5.15,7.74,172.2,"1.6",1.6,2.4,1.6,2.4,2.4,"High Inflation"
"55",2001,"Alabama",0,0,5.15,7.52,5.15,7.52,177.1,"...",0,0,0,0,2.65,"High Inflation"
"56",2001,"Alaska",5.65,8.25,5.15,7.52,5.65,8.25,177.1,"5.65",5.65,8.25,5.65,8.25,2.65,"High Inflation"
"57",2001,"Arizona",0,0,5.15,7.52,5.15,7.52,177.1,"...",0,0,0,0,2.65,"High Inflation"
"58",2001,"Arkansas",5.15,7.52,5.15,7.52,5.15,7.52,177.1,"5.15[c]",5.15,7.52,5.15,7.52,2.65,"High Inflation"
"59",2001,"California",6.25,9.13,5.15,7.52,6.25,9.13,177.1,"6.25",6.25,9.13,6.25,9.13,2.65,"High Inflation"
"60",2001,"Colorado",5.15,7.52,5.15,7.52,5.15,7.52,177.1,"5.15",5.15,7.52,5.15,7.52,2.65,"High Inflation"
"61",2001,"Connecticut",6.4,9.35,5.15,7.52,6.4,9.35,177.1,"6.4",6.4,9.35,6.4,9.35,2.65,"High Inflation"
"62",2001,"Delaware",6.15,8.98,5.15,7.52,6.15,8.98,177.1,"6.15",6.15,8.98,6.15,8.98,2.65,"High Inflation"
"63",2001,"District of Columbia",6.15,8.98,5.15,7.52,6.15,8.98,177.1,"6.15",6.15,8.98,6.15,8.98,2.65,"High Inflation"
"64",2001,"Florida",0,0,5.15,7.52,5.15,7.52,177.1,"...",0,0,0,0,2.65,"High Inflation"
"65",2001,"Georgia",3.25,4.75,5.15,7.52,5.15,7.52,177.1,"3.25(d)",3.25,4.75,3.25,4.75,2.65,"High Inflation"
"66",2001,"Guam",5.15,7.52,5.15,7.52,5.15,7.52,177.1,"5.15",5.15,7.52,5.15,7.52,2.65,"High Inflation"
